a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0.2540542788520283334161541460488493732959296221291490301403977415008470538047026im - 6.19006197013877893402626229030324788792526991829480688173954609255960851889734,5.19050807556235021148657774140639480431002049256763898355292828281240605656923 + 1.941661885321441662715428994232811966959417608694599653954784260566608918373295im,0.08640527319788482398603768350519777716400761031028619742139179993231668262550971 - 0.1350318088777591032105967864581614026461939147635491758994616149972651806651779im,-6.543425335775059197032139169873361159032986363234011209129350588057469263624391 - 3.226360251068412003975847457778852326803951166869169959494426661832132359033436im,9.667452330837232205409852651819300856114344657877581682443223577142750703735931 + 13.00482944700384796676382167277179680082628941605403288211333619194086734669843im,-0.7581744937679767455945255685638134826589819798780133093849200444952150535246817 - 9.450795315134623209238024474273216754724088227091149473968062579721156108724725im,44.45592811355283099532249155547373078934341780477653151894383233810379550280166 + 18.01080466760019556980998588630195849979685627342403134796344210000883864510444im,-71.07802019998045810051586802162708986413972383436695757371034763141035204851615 - 47.89493822685399494769118769170943534533484538855735171180224951685906937194403im,40.47218843151152141561364234120049089628113512022154743013890281167662972180364 + 37.83445575475643175855619977813301586661345855085441598848827188662046773646969im,6.16422382612596431184872919160804398785835037872921819587241912022945318196737e-07 + 7.752533150327285768817134548034196014033104981993469809105845710587684261353847e-07im
0.9118882740080815385589248671208122471128669762224144394548456353829139755397633 - 1.103541184063963098983743015152425371843683325327668164415770233603803866224818im,0.118901718294227854168038832409459395600739739531428346794333795309454072599962im - 0.9584539839133234177903625057134936845865535736738617334461472605429762557000823,-0.2535705199183887624975481294939477864248297592676118524353224516324236244500522 - 0.1558586165941223406316755627586612582470670691854498550094243237067630446202254im,0.6791508664852131585333651768666257224443321749709300769372554611395416591560169 - 0.6562802366849250770395677326062063531815540483565139823956013119339825766587344im,0.8539878545082290097211278501754919503001460206118231212776972405776543911581402 + 0.4258994905213124776402311177513507053766196120441472850826550411226678369673942im,0.02435788425716407724477093329739217588031424345198860362320446277753670932362228 - 0.9655399574804692385186983700813616163273349391838374450599213824453435296667101im,0.3231853150217062962335474020836015387162146811511374898571644799783061854844998 - 4.588768079457910833089532537086484223063197302371579805134073120613134983173888im,1.636423282328460129530125237382217542136841773463058300708285650134677803619263 + 0.8845496865083779768767489227996527126245477920091402400989324905960384442371455im,0.9612530020921741747646935344582341426290996951618789561061231322393841576599916im - 0.5027217300550744748926455154252524656284823527489192390656747989413165254555341,-0.1835000573573890691004710776559636910215867183601567670646974732417810792915497 - 3.852547954631180551836593849641316804371547475047956457494446063266228907073801im
0.4997505625177104043702344644959589804915642696802275116121108684132484370714322 + 1.341489002736125192841831134033869690925746633693786072755936243901923064488178im,0.3762550833602394559188746684569933745671523773662331621654565821851791721799154 - 0.8894963575744537031715221935579791949142039777870656528294553495791779664618973im,0.2975278201972138409724027795729576064383352130715711856241765185128360836308454im - 0.008192261410014428515635336354239187157734874597634277286538283781973800486667332,-0.9079307902134157838975788603172615668746935001481436733657920062562841698119928 - 0.2600217850359455672940472422119699800775350247175545612472965856892957097143689im,-0.05815414900380816632135677889798699867653236753515264372985451472038086330225165 - 0.9525249217881517107232366952115135643493414906995342002706690990941289584713421im,0.4616754321910894778616061227376787320083802089094050029891287360653548575440713im - 0.8483610736756151331819264443577483701212702598066186652413599034255914073988792,0.3231853150217062962335474020836015387162146811511374898571644799783061854838478 - 4.588768079457910833089532537086484223063197302371579805134073120613134983174509im,1.636423282328460129530125237382217542136841773463058300708285650134677803619712 + 0.8845496865083779768767489227996527126245477920091402400989324905960384442374132im,0.9612530020921741747646935344582341426290996951618789561061231322393841576599571im - 0.5027217300550744748926455154252524656284823527489192390656747989413165254558277,3.428154426687075892443516958463819274623449323095985813366938670427951621026204 + 1.767358266048189755648270747205103345566614784915853124839601087423069103505248im
-1.411638836525791942929159331616771227604431245902641951066956503796162412611083 - 0.2379478186721620938580881188814443190820633083661179083401660102981191982631616im,0.5821989005530839618714878372565003100194011963076285712806906783577970835200676 + 0.7705946392802258490034833611485197993134642382556373060351215542697238938617453im,0.2617627813284031910131834658481869735825646338652461297218607354143974249366936 - 0.1416692036030915003407272168142963481912681438861213306147521948060730390106134im,0.2287799237282026253642136834506358444303613251772135964285365451167425106558679 + 0.9163020217208706443336149748181763332590890730740685436428978976232782863730687im,0.5266254312668392330830055774601628589727218786553869151880140579714611215039954im - 0.7958337055044208433997710712775049516236136530766704775478427258572735278559884,0.8240031894184510559371555110603561942409560163546300616181554406480546980753487 + 0.5038645252893797606570922473436828843189547302744324420707926463799886721226734im,0.3231853150217062962335474020836015387162146811511374898571644799783061854842493 - 4.58876807945791083308953253708648422306319730237157980513407312061313498317444im,1.63642328232846012953012523738221754213684177346305830070828565013467780361947 + 0.8845496865083779768767489227996527126245477920091402400989324905960384442374909im,0.9612530020921741747646935344582341426290996951618789561061231322393841576599312im - 0.5027217300550744748926455154252524656284823527489192390656747989413165254557241,2.085189688582990796188323102436213458804932690132103332654844975843159803457216im - 3.244654369329686823343045880807855583601862604735829046302241197186170541481154
1.649145141994820335813401275684848211822041886874779439461345688229599607619819 + 1.293132756256936155186559634276105931741908099974076801165963736882940900187196im,1.075838623761699133269625652022821121360366603536663727417012912224273924503233im - 2.73579918432824456382225439508969828124398907377942410403657585866561464738507,-0.4368703159339256286104607948130861117868327883378286524255337655748099187410718 - 0.5304322158532993626477607613294227569335309573138124791792414691704880243365412im,-1.063336145896729891996418161178155550414339097924616130659464470863705945712603 - 2.262429275020919829775929776952889626108112729838554552648705478519132112476232im,5.14982971377407832290292227447395299351745898225147562875909941898280576673264 - 2.720719837168379347246986729731818341013608004962253283701954283923933556032144im,0.8370798940951513265929300419033822023841746207947421394721000174035576553868196 + 3.848510061240583219473096154179114250711442740127095248901343824716104745819562im,1.948938538142827497415183846509621983866866614301889915315804878796011495934286 + 1.727164319274331995916237700048904749591186648081943229995757480176019977070532im,1.408378823336648754823924233740989387216700130792218159616334632080308183005147 + 6.740988026776061359652547660332804131369223559968976643946026770461737892970135im,-5.99406546409660254724310482217731344536747416601248232359978664388901963299187 - 0.704644645490489554827499442456243988682453774275252316355656133657463730421178im,0.0003278699784569137973198147233554013113342990153373752240415579248324677992610318im - 0.0001513571023690190415192012593041592862610500072360577836273853978230519468307456
0.7816352093667416111455013155524469727708139256242647524315450364544151173390576im - 1.944458388381707382651445959795943132772945444435515703778207895622320914518586,0.4361960136140020198967753548734890003461312112520481869118993584479410556411349 - 2.907190905161855459273285721687541013604512495319892717713445022369602410614262im,0.6435568996847629046557318489731979753977811578176143413434184960560897394589343im - 0.2409326159476652847152850234004171818816872368231262373722064700692152738141228,2.052090752619264183328493106293129732790659780143804732846045928944098803071736im - 1.427653153485361941910223536663472985302192047721669461535574616321825477714576,-4.931127352455117051799490510330063564643121345155011117216728046321752459167564 - 3.099523438708106608658623855120216612951181562363589795763425426074775913218696im,2.914367532706775123798897011208057659161982000728281495355131114678303907005798 - 2.649187483903880177052296146269283412977823125367350148720781634681507513455205im,1.948938538142827497415183846509621983866866614301889915315804878796011495929726 + 1.727164319274331995916237700048904749591186648081943229995757480176019977069064im,1.408378823336648754823924233740989387216700130792218159616334632080308183014215 + 6.740988026776061359652547660332804131369223559968976643946026770461737892945401im,-5.994065464096602547243104822177313445367474166012482323599786643889019632975772 - 0.7046446454904895548274994424562439886824537742752523163556561336574637304042598im,-0.0002082651792974344509157447640772002642642914282873410153562294098064230812871835 - 0.0002950140849232292293666789799194766911560429079284557623499294461190677065075982im
0.2953132463868870468380446841110949209509035575607362643168622073927213069008006 - 2.074767965623677766332060949828552904512722025598341553597508773337356017523274im,2.299603170714242543925479040216209280897857862527375917124676500217673591738767 + 1.831352281400156326003660069664719892244145891783228990296432110145328486112963im,0.6778029318815909133257458182135032936685200251609548897977402356440251925545966 - 0.113124683831463542007971087643775218464250200503801862164177026885601715122324im,2.49098929938209183390664169784162853571653114564628559219503908718553142342711 + 0.2103385224016556464474366706597598933174529496947498198026595495750333094004377im,5.820243275876485955905610584852034953964789567325843079465379709998709469253016im - 0.2187023613189612711034317641438894288743376370964645115423713726610533075539846,-3.751447426801926450391827053111439861546156621523023634827231132081861562396339 - 1.199322577336703042420800007909830837733619614759745100180562190034597232357863im,1.94893853814282749741518384650962198386686661430188991531580487879601149593185 + 1.727164319274331995916237700048904749591186648081943229995757480176019977070981im,1.408378823336648754823924233740989387216700130792218159616334632080308183004905 + 6.740988026776061359652547660332804131369223559968976643946026770461737892954728im,-5.994065464096602547243104822177313445367474166012482323599786643889019632979779 - 0.7046446454904895548274994424562439886824537742752523163556561336574637304141654im,0.000359622281666453492434946023381359550525341435523398798983614807629475028125587 - 3.285589353368456795313574343592462017825610740891946169162847871340009275010547e-05im
0.05862551681388590232676627175720280109469869218095492369002429398437912941705325 + 1.411270556176388371465377642198856418440614524133174867540347260376048636449404im,0.7910434598524358059000941874107264153485534480150269536028010788572095280896501 - 1.148203100491392062708629455017487766443951428900177236417214307239004779082723im,1.019487915088857793264392897769903546551185089407868423066104195118632045720131im - 0.4891672333666300635524558022431150432054800911620050989140532316170349573620214,-0.3859402614509842694525957236441753045908552912773446944588257394091609320892593 - 1.304481052335998801080250969761658816995488776648900229965441262108703981787421im,0.9465510982061265009763037785405019703888688163518576851441576597597603898928402 + 0.1167781202034729919880388885201972149809840631381226862208474698357889851318639im,0.704110639293857237400685757695177084339455573420322798113331697326029746890632im - 1.535911043245647885355883282093751597057840110372000787554812116631784519018304,0.9727947260052064151294364105638967308314044461328185966244714027861523733831425im - 0.8204362995503261971538461779375116888523184741183890085137634376640896860399415,0.3525337912402437614697318615948141899505327116508768359147448310671371626389397 - 1.276053902203003564703612390697921204324966736932089837321360749212102139774421im,0.5699839555313590472143385875077510846515668218765781886990078884996765472352333 + 0.7170890269258006067468964387096743446208799119633698185788489410879366977965447im,13.45714325897388067257775811591137612210292580094664185670815742492292945380526 + 19.74440097566219103505947866285685260670082332401250922622147474290715124881762im
-1.251508911668688994950693564246792782611351903289990929160415769910389346983979 - 0.6548640912173772500988238661062618372466596717282114106133286447955224942297647im,0.5988513238033842925475738385557695536962455945350325542195159142661479390195497 + 1.259165281975441131868511896643139698766723934892243326551403613120704516614551im,1.127486050001498603501987566053906971947807696341847371662150995575228109899068 - 0.08611270674997636650899164197648319039785290462933160716568917244658144435050633im,0.9864745969277598736637179017391091992908446150886074280669575348539411608037299im - 0.9367435993529406698101117616610850411354510170776970085940518685674408051147924,-0.3721427304006628400180709850908451339554642880035521898683624627544765677055719 - 0.878126357128301038640532724853285808432417962461023118813191505017091482249229im,1.377733222326205889181950574257477967754871425438628798411722459160335215684378 + 0.9780826617568619995241580634719639691545906660319190804598316416405029767770374im,0.9727947260052064151294364105638967308314044461328185966244714027861523733847489im - 0.8204362995503261971538461779375116888523184741183890085137634376640896860420401,0.352533791240243761469731861594814189950532711650876835914744831067137162639432 - 1.276053902203003564703612390697921204324966736932089837321360749212102139784542im,0.5699839555313590472143385875077510846515668218765781886990078884996765472453981 + 0.7170890269258006067468964387096743446208799119633698185788489410879366978030996im,1.782027436806796105788355112922743001541907196461803194773851822313361080064161im - 23.82772445691665370179803580261168624482379855560047741709423913471423852972344
1.192883394854803092623927292489589981516653211109036005470391475926010217546445 - 0.7564064649590111213665537760925945811939548524049634569270186155805261422236811im,-1.389894783655820098447668025966495969044799042550059507822316993123357467090382 - 0.1109621814840490691598824416256519323227725059920660901341893058816997375325405im,-0.63831881663486853994953176381079192874232760517984227274809776395819315253753 - 0.9333752083388814267554012557934203561533321847785368159004150226720506013711735im,1.322683860803924939262707485305260345726306308355041703052877607976601737209419 + 0.3180064554082389274165330680225496177046441615602928018984837272547628209990983im,0.7613482369248280466524938363330885934514338993229004325923440351813024971128063im - 0.5744083678054636609582327934496568364334045283483054952757951970052838221917029,0.1581778209194419961739327078362736293029686849333719891430896574714493033337271 - 1.68219330105071923692484382116714105349404623945224187857316333896653272367818im,0.9727947260052064151294364105638967308314044461328185966244714027861523733839284im - 0.8204362995503261971538461779375116888523184741183890085137634376640896860424028,0.3525337912402437614697318615948141899505327116508768359147448310671371626426015 - 1.276053902203003564703612390697921204324966736932089837321360749212102139784145im,0.5699839555313590472143385875077510846515668218765781886990078884996765472427382 + 0.7170890269258006067468964387096743446208799119633698185788489410879366978062im,10.3705811979427730292202776867003101227208727546538355603860817097913090218758 - 21.52642841246898714084783377577959560824273052047431242099532656522051238940333im
-1.350528783998817932890595783201555370155664134291339112489113453745029041639291 - 0.04630126882562525867411211742616361501051934773349542583689146176139118197342436im,0.3722806862230853204959120786084405399851141429715318102317692778431420893103661 - 0.6172023194459280617516768242798344019907389345413705606522327230906044784991321im,3.231244830337984964851022166091096976661468068176367105289431007094953777884396im - 1.147985541822180824024442616678567200855629121772002848725046224121727821544477,3.110766518126580317440447521471134782495685901487063615385694207927053777950751im - 6.93631636942537701632736591403356121220811062453791217505927059168087950537868,-5.559399888305559297770342483899960150770836039749558534787111876661577178734394 - 6.706814311169007076568153696841222412866430213731264021777664092385142354843863im,2.523297984042587137594034113416386652628258138700418749665313311906601508070386 - 4.623475921309658922949811938255239460587338342357973649861617258178081620479904im,1.494401886946651788958965701861528112682360955687355729260494767776750657490416 + 1.62119555271894043518742119752558039353660015805062325732061916766079503134048im,2.069888216627626805251091090211489304341696525541003964306797999578279124398166im - 1.234966277627721433451573827237642395829574748554309994443705578063369281343889,-1.531916165585695392719114556998589392107488973651816285281382381795612803357478 - 0.09404490488314726684537570140873895218103013956403409581887469356078040456362627im,-0.002912180189608670254674967453994309713150616917619261657534963943747126936697911 - 0.001055917450398874439833071550078557969353293946354472272831897508573778226478578im
0.7153624670298529224765419236170652175833393435032228205989342607168660568484039 - 1.146441601072270594253638439330048130720948512550528434496474399360554242552008im,0.348372544803309278385143759745684040778650761451260962357498831449176396994165 + 0.6310056913304594011788021187140225655306948041413179509750435831302927992059831im,3.372332879830923789477873810191111413222374791195905821401556021930650213750407 - 0.6214377727737407550295600277422564018380210396940859669060010316777041376054199im,6.162161014652372510464028039818109149483148008436828293399449938588344255702176 + 4.451642925544933476628724960624213211330930413820853895329364741319343118450964im,8.167988688653488641476841379484014494523500449458073823079487996301955713858797im - 3.028571627784611448058604000007583865371926980657416456325779238394966196515951,0.126497805155887910493418327981669537450648454269046865046911213432283348958779im - 5.265696593661120420393980972072932578647194788461153977100815291759669865891157,1.494401886946651788958965701861528112682360955687355729260494767776750657495908 + 1.621195552718940435187421197525580393536600158050623257320619167660795031588096im,2.069888216627626805251091090211489304341696525541003964306797999578279124463317im - 1.234966277627721433451573827237642395829574748554309994443705578063369281728216,-1.531916165585695392719114556998589392107488973651816285281382381795612803425237 - 0.09404490488314726684537570140873895218103013956403409581887469356078040486506634im,0.0023705414311490553307254126176604204231935719883907769569783434104970782271485 - 0.001994063299399454536751213600967554227996845345965874717343627227992944681366748im
0.6351663169689650104140538595844901525723247907881162918901791930281629848632927 + 1.192742869897895852927750556756211745731467860284023860333365861121945424726265im,-0.7206532310263945988810558383541245807637649044227927725892681092923184865748173 - 0.01380337188453133942712529443418816353995586959994739032281086003968832081487463im,-2.224347338008742965453431193512544212366745669423902972676509797808922393002754 - 2.609807057564244209821462138348840574823447028482281138383429975417249640622963im,0.7741553547730045058633378742154520627249626161010838816598206530925352495896673 - 7.562409443671513794069172482095347993826616315307917510715058949246396898457848im,8.587971516090170745828946483907544016142763020406974991112891115056543377430908 - 1.461174377484481564908687682642792081657070235726809801301823903916813359470319im,2.742398609618533282799946858656545926018936649760735227435501979853068358445443 + 4.496978116153771012456393610273569923136689888088926784814706044745798272447846im,1.494401886946651788958965701861528112682360955687355729260494767776750657666852 + 1.621195552718940435187421197525580393536600158050623257320619167660795031617874im,2.069888216627626805251091090211489304341696525541003964306797999578279124736255im - 1.234966277627721433451573827237642395829574748554309994443705578063369281736869,-1.531916165585695392719114556998589392107488973651816285281382381795612803638084 - 0.09404490488314726684537570140873895218103013956403409581887469356078040485597353im,0.0005416387584596149239495548363338892899570449292284847005566205332500487049555095 + 0.003049980749798328976584285151046112197350139292320346990175524736566722905207668im
0.1475512376077097274984127541206840713588074976761902428193826444933594473541034 - 1.417455549358915282720594908094671190053860688059709609329744885382841435780658im,1.91131492665178025891067985457825748561797601025856643538698201277127185581255im - 0.5906060169214271554346272480537004676088611199458446654129436947145299689009318,0.7386015245401979288102927573886411888711089807945849752780757108889444408899108im - 0.1473256408765107940863515136206572319214688729134469268331393877506884765901147,-0.2675633892004527332996680248539348654845303740126058829980996788907000570688424 - 0.1905408958298469354203168008050137064911805655547114922750119278207526910340934im,-0.2935099215502426741542023689804958972987020598154956073307597324805978901916295 - 0.19553615735532429489037703652605587007354630051978304388332249818306599423634im,0.7046743528315986076456499191014362122418879651394241326211524072988998340277954 + 1.148948952387063879842681360672103052776813534772445646669802728576824972375294im,-0.8526345823261335067420435329787040973822540426445066022015467302367361393179877 - 1.052655667600696818154617765296213556611619290649736640796983712729781188354585im,0.539887295113181178715910306186199811907720768724906527639979865141967934582041 + 0.1138340784823247748695378640391676060337413886734493333311347255346313654883659im,0.1225213834711989763615944912187506639226275804236853492244866418460279386099554im - 0.3996099061802936286720651423262466619651661134364199029713242735400060139525666,14.57950750312686583520737143898533167952187578377389119802222703604903559617558 + 50.22533516448657488094069168122712395438774670401613043053347420142590861841882im
1.153776895676193048598593083585880028915239860362795167883716852784423828867962 + 0.8365108948075681071814349381292047517884377114862600705455797843206294338536598im,-1.359944272652119156275279553917603012044289462372469581370661669768501336353107 - 1.467137277607788085760113536045380824277873583822292996959036242546395920821834im,0.7133105039639822784488105866685508382566751673724053970213781976499509705989439 - 0.2417130146422175043598954062104313296433768912478629348225645413927430810929653im,0.3269871400851784567963734460670121929405459151546448309785373284209254469774985im - 0.03123156164826548750377349290750365599215651752710961126276016771788418708647898,0.3519551270029499697499782212216551846851358269762777178427047508568837413900177im - 0.02258431885298091827021745425614072211507441546495958615994355938785976940153499,0.6426818040029154661157825371955406831124222773037192001775569644183178949025313 - 1.184740367141055110986225141612650872913847916256090979191534502623660921426049im,-0.8526345823261335067420435329787040973822540426445066022015467302367361393180482 - 1.052655667600696818154617765296213556611619290649736640796983712729781188354481im,0.5398872951131811787159103061861998119077207687249065276399798651419679345821705 + 0.1138340784823247748695378640391676060337413886734493333311347255346313654877571im,0.1225213834711989763615944912187506639226275804236853492244866418460279386106819im - 0.3996099061802936286720651423262466619651661134364199029713242735400060139531668,-50.78616991759668416664431356055949134845075999485969914769413982141991019291501 - 12.48644370986959055917356330129759699340425644708287296290488010570953891668606im
0.5809446545513471755391599699654664382654229765734495387841651010622120019291057im - 1.301328133283902776097005837706564100274047358038985410703099497277783276221772,1.95055028957354631170990680197130347965315058231831424678360536448303130525416 - 0.4441776490439921731505663185328766613401024264362734384279457702248759349923224im,-0.5659848630874714843624590730478936063352062944589584701882388098992624940091228 - 0.496888509897980424450397351178209859227732089546722040455511169496201359796654im,0.2987949508487182208034415177614385214766868915397154942608598466085842441566449 - 0.1364462442553315213760566452619984864493653495999333387035254006001727559427359im,0.3160942404032235924244198232366366194137764752804551934907032918684576595926441 - 0.1564189696476256748596011846955993146115895264564946739593822526738177471542542im,0.03579141475399123114354378094054782013703438148364533252173177404683594905106164im - 1.347356156834514073761432456296976895354310242443143332798709371717217728930128,-0.8526345823261335067420435329787040973822540426445066022015467302367361393174523 - 1.052655667600696818154617765296213556611619290649736640796983712729781188354758im,0.5398872951131811787159103061861998119077207687249065276399798651419679345830169 + 0.1138340784823247748695378640391676060337413886734493333311347255346313654890752im,0.1225213834711989763615944912187506639226275804236853492244866418460279386094534im - 0.3996099061802936286720651423262466619651661134364199029713242735400060139524802,36.20666241446981833143694212157415966892888421108580794967191278537087480789181 - 37.7388914546169843217671283799295269609834902569332574676285940957163698488939im
1.039266138176020890242168906462600828860157427785251815184452213005776709176427im - 0.6000205846355884663110343079510496988679086364044973667335861099444877458457985,20.75672196402364197467940932140455309356394641531021522690564612455762152589854im - 11.98389901342326728757267145918591038124479709211039014819684460829871996775074,-0.08213806386891166698815972210329479278058476733027828993579217819006232112838209 - 0.1422672998562924744878883033722823881468452210090173869313215539367657970445841im,-4.44501651739060228903060693847333286494260291682224457402857073136828589838045 - 7.698994448603391195029470949336717877896851662352686629777156888671511455687955im,10.59084266275769215197605380888687723024270530782292310761492864462109481523168 + 18.34387758686437944745229968663727791086597001570501325953277867037480128127708im,-20.43198383960208537241618413926688463785702434621292150847835220022748372063843 - 35.38923410961704219624570292799805047983903389586648577085697509478183367343955im,1.914013573037304109224204481976152096297368211620225108690162395766557483896069e-76im - 35.89543609204086476180719807390561440582275186950651926218785735553153835541563,5.824706600654270540168689937591390093056102594468579666995006575528492488331647e-76im - 147.4824586685282582972355941265321736417224288196684905963422289512215126029727,41.11663516645372665408586876291710113869849692433734388236716381316583425232568 - 1.059817655071790815223030537415010293265711681943563180759642387284161307655647e-75im,9.05019207724065719445612471010042500062028859476308774867887131238375419704928e-13im - 5.225130832012711800557429801870424368923883000595621897558586879988987365105376e-13
-4.529631500751757344722211757369813249590792219514976862648143929321572125828914 - 1.336094297607771019664469174612516609552980001481179151504037645398531140175924im,4.277513952140119092474416172113587652453726604744714796090224044241995455259543 + 1.557037477816130232733776134748065233847338563882863164646048739210545145287384im,0.2196668857286278736252710367824604897959045868662555019111472157464486871970151 - 0.02108681413884483933376904317200918665241112942624323295821376745157850527301661im,0.02156490971700778380475502862226534176860452768212906555076376944394350602782193im - 0.07890459887683436641184083310572784151761731275502391163128891806894277795458136,-1.018741770920804455043971510402481278972803343214796174157469246874712380280751 - 0.1203329469379868001335266151770392479608273091982624068839956376466557914444798im,2.149210737919022619420465593876944514603009230326478265002691327645371081832289 + 0.396099555501338904423235027650905384853010088308623993376697686575848950281259im,6.156273105405137968214929643290949405393586508429805635470407417035041796389733im - 1.414529834815298386638634377786886522780043582828305285000580493168682302818609,-0.4326262565764105659452206987273198160520102086642939600213516271784864960803938 - 6.372988227347411682499042805059473979215201874557326094015786383682184736112755im,0.1061820263275470269309381893816852090903720595226027314613158804098199781708883 - 0.6518254841921903377849652301120872827897972024241237091333340755782289131597904im,0.2538486268718493632749024708507227643884177278790726031910243338686057786090771im - 0.5820455379873879934462602138054840149969465821913590032067355608517290629610377
-0.6000205846355884663110343079510496988679086364044973667335861099444877458457985 - 1.039266138176020890242168906462600828860157427785251815184452213005776709176427im,-11.9838990134232672875726714591859103812447970921103901481968446082987199677495 - 20.75672196402364197467940932140455309356394641531021522690564612455762152589716im,0.1422672998562924744878883033722823881468452210090173869313215539367657970445884im - 0.08213806386891166698815972210329479278058476733027828993579217819006232112838317,7.69899444860339119502947094933671787789685166235268662977715688867151145568761im - 4.445016517390602289030606938473332864942602916822244574028570731368285898380381,10.59084266275769215197605380888687723024270530782292310761492864462109481523057 - 18.34387758686437944745229968663727791086597001570501325953277867037480128127515im,35.38923410961704219624570292799805047983903389586648577085697509478183367343568im - 20.43198383960208537241618413926688463785702434621292150847835220022748372063677,-35.89543609204086476180719807390561440582275186950651926218785735553153835541342 - 6.838340803947714812784024564008867335418057440984279516329779352785815583238958e-76im,-147.482458668528258297235594126532173641722428819668490596342228951221512602955 - 3.327751568108741955143865828895330730667152588775921734741373896711654376051163e-75im,41.11663516645372665408586876291710113869849692433734388236716381316583425232181 + 6.350545399548517600392613124558009342849641572698812000222427075514888189582779e-76im,-5.225130832012711800557429801870424368923883000595621897558586879988987365108361e-13 - 9.05019207724065719445612471010042500062028859476308774867887131238375419705415e-13im
3.421907353955734508361915831547348305040469608013303961825889119877003944979494 - 3.25472880062936795237706981863223242890147256982997372921241409793627268323049im,2.925917008687651489291002806918109370613820423258971994092319634616028142545im - 3.487190986503277662999446191128007067993772871993301218958092992926293691685865,-0.1280951595934344486987666958394596555842747208278768680061583047110045040931158 - 0.1796936963417826778062401621303108851285327763333347348511129727329332190193768im,0.05812805908366381372556171385707454953230957290239323815597663858368123511441171 + 0.05755093224425575440006494874668783558093972063170670522586546361152668352546528im,0.4051594964998607788705426432371789689803815988772078433996142337564542052860117 + 0.9424227269827571755132088330169061861818012853988333272245916876205844178166658im,-0.7315730914676276186663396497191837071147204628667644083516353202162298517762357 - 2.059320874874842360424602856811704921934639131529441417731374770282943284340928im,6.156273105405137968214929643290949405393586508429805635470407417035041796379162im - 1.414529834815298386638634377786886522780043582828305285000580493168682302815293,-0.4326262565764105659452206987273198160520102086642939600213516271784864960816461 - 6.372988227347411682499042805059473979215201874557326094015786383682184736101286im,0.1061820263275470269309381893816852090903720595226027314613158804098199781710675 - 0.6518254841921903377849652301120872827897972024241237091333340755782289131584691im,0.07118340940687534919150648654937465683238785060083658851134981158351251175287868 - 0.6309905354923831917527999623790896001267422482936867111598632376858727942528701im
1.20004116927117693262206861590209939773581727280899473346717221988897549169158 + 4.599751255803580319228775414729882298857820797827590344522054583150681749648164e-15017im,23.9677980268465345751453429183718207624895941842207802963936892165974399355001 + 3.338105197068884003097454158118257439742532807566308421453148183200780469744668e-15015im,0.1642761277378233339763194442065895855611695346605565798715843563801246422567663 + 2.592493732344651854029611143346641251030356588061309290160309781798096298629825e-15018im,8.890033034781204578061213876946665729885205833644489148057141462736571796760624 + 5.716833703641592682470049444021425142866148705871433713905982124772990174562719e-15016im,-21.18168532551538430395210761777375446048541061564584621522985728924218963046142 - 4.678604134474498838986982993268108852552526297218920464713861233147550579642133e-15015im,40.86396767920417074483236827853376927571404869242584301695670440045496744127354 + 6.308230293673481580656606283058124295576439951306409615344531999749506399517483e-15015im,-35.89543609204086476180719807390561440582275186950651926218785735553153835541397 - 2.786135046372454364790001108350671563879594311826997580110501633222698659786888e-15015im,-147.4824586685282582972355941265321736417224288196684905963422289512215126029572 - 2.15531201700510620672434048004485913432195031669635661857604843324774801983514e-15014im,41.11663516645372665408586876291710113869849692433734388236716381316583425231683 + 4.205486862448987720437737522038749530384293300870939743563021333166337599678322e-15015im,1.045026166402542360111485960374084873784776600119124379511717375997797473021578e-12 - 2.103677410875155370595853707637900007931749601520111226782011484139262101801321e-15027im
1.107724146796022836360295925822464944550322611501672900822254809444568180852563 + 4.590823098237138972041538993244749038454452571311152880716451743334803823406206im,-0.7903229656368414294749699809855805844599537327514135771321310513157017635767011 - 4.4829544865037817220247789416661746044611589871418351587383683738265732878319im,0.2007805104806275171400092053023200717809439057595779678093267401845117242920906im - 0.09157172613519342492650434094300083421162986603837863390498891103544418310417031,0.02077653979317055268627911924865329198530773985263067347531227948526154283970545 - 0.0791158419612635382048199773689531773495442483138357707766292330554701895530678im,0.6135822744209436761734288671653023099924217443375883307578550131182581749938414 - 0.822089780044770375379682217839866938220973976200570920340596049973928626372743im,1.663221319373503456001367829160799537081629043220817424354677083707094334061504im - 1.417637646451395000754125944157760807488288767459713856651056007429141230054136,6.156273105405137968214929643290949405393586508429805635470407417035041796389042im - 1.414529834815298386638634377786886522780043582828305285000580493168682302802788,-0.4326262565764105659452206987273198160520102086642939600213516271784864960942894 - 6.372988227347411682499042805059473979215201874557326094015786383682184736110544im,0.1061820263275470269309381893816852090903720595226027314613158804098199781688318 - 0.6518254841921903377849652301120872827897972024241237091333340755782289131602913im,0.5108621285805126442547537272561093581645587315905224146953857492682163620619972 + 0.3771419086205338284778974915283668357383245204146141079688389038172665727705161im
