a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5
2.540380801919403 + 0.36944869188761464im,5.763573093698447 + 3.4217088736348704im,0.13782684172413914 + 0.05708974710118841im,-5.023461243298795 - 1.6017523696639238im,-9.909261795679871 - 21.07965647296617im,2.843417747269741 - 25.83010385882595im,0.0012705595834458458 + 0.003067402178158071im,18.812542764730143 + 26.746505391127258im,-33.30200407958866 + 157.35907389081615im,-118.95240720279129 + 113.66864321547888im,3.4969674292505837e-6 + 1.08956153754843e-6im
0.63959041374357 + 1.2022179969436675im,1.716442526856838 - 3.4231056271022187im,-0.4441697503714162 - 0.004596455473850563im,1.6056221449169392 + 3.190445067741179im,1.4932217243593755 + 0.37226040411843536im,-5.286330652866796 + 0.6886207807039985im,-0.08760066165453406 - 0.002720362411119021im,3.4796450645579626 - 1.2381009645208767im,-2.8432580401613867 - 2.5809299588685017im,3.8856709518907344 + 14.844852735357318im,-6.019130302611783e-6 + 4.586381589205229e-6im
0.7681014514928924 + 1.7681014514928914im,-3.536202902985797 + 1.5362029029857707im,0.2968392018291533 + 0.47126224966374025im,-3.29137059499666 + 0.24483230798912287im,1.0465382870075304 - 3.046538287007528im,0.6976921913383535 + 0.6976921913383519im,-0.1716178256100861 + 0.019911973928814393im,3.210258565480888 + 0.7619177034325239im,2.0241259559943545 + 10.116034107390721im,-7.391033952857865 - 0.904077274281143im,-1.3218236936378178e-6 + 1.1193836621631325e-5im
0.7092736875649559 - 0.293790780823782im,-6.242904918955533e-16 + 40.35088719082404im,-0.14645321758579832 - 0.060662908977215525im,8.18104771929533 - 8.18104771929533im,-2.9776049143319123 - 7.18857416756888im,-86.80976971537966 - 3.558837590407545e-16im,-0.0015243699384280772 - 0.003680154579426904im,15.78435589831801 - 38.106806083043104im,209.90931368100635 + 209.90931368100635im,180.9369772203666 - 74.94654989946763im,2.5395661276036403e-14 - 3.264842561373581e-30im
-1.0490033833449235 - 1.9454497455260729im,-2.379961173882803 + 1.4129315504794957im,2.60960315741701 - 6.300139335047796im,-14.627475994490666 - 13.21454444401117im,-21.01441387164596 + 9.878592129998067im,-1.1741368990410088 + 10.666064835471403im,-292.96772029370436 + 121.35120308317977im,1.0159636475693838 - 2.709299574711591im,-2.600330916697474 - 2.2416202151817886im,-1.3229704871105399 + 0.6773843584814135im,5.329080783231527e-6 + 3.7871606576191284e-6im
-0.2990765852296831 + 0.08379307604708998im,0.46852135489290775 + 2.1950634737208823im,0.3710903097988052 - 0.3710903097988052im,-0.4536107955780705 + 0.7657393225535462im,0.9302193196842536 + 0.16447999713070746im,1.766397715224117e-32 - 0.2671251729731635im,-0.10220422214252099 - 0.10220422214252099im,-0.316448961236797 - 2.2960743068572373im,1.7100935398000765 + 1.9281104669650784im,0.8740159399303016 - 2.1258912967592676im,0.09260838318545579 - 0.010103971574151646im
-0.5927835659980268 - 0.7752360545382909im,0.08665354826624057 - 1.853611476841765im,-0.19520321524517728 + 0.12295482324164006im,1.0978296270818886 + 0.1533998364364829im,0.4313842484772091 - 0.725553415727738im,-0.09982828114691135 - 0.14938220619129458im,0.0014151004170432405 + 0.01219650334321963im,1.5260436528317087 + 7.531819095827538im,-0.846469658640537 - 2.256218734747482im,-3.0456388356174307 + 1.666944767633313im,-0.021353973704955103 - 0.01252190134833843im
-0.08976977090707686 + 1.1403490413625292im,0.2699746366798572 - 0.4945629619009399im,0.43763398689170324 + 0.32985700424497527im,-0.844275442821025 - 2.1488512787152145im,1.2568971093677588 - 0.06161389188392517im,-3.4879056567740476 + 1.9290752598024727im,-0.05903394662923023 + 0.15363580674543922im,0.7038504708540416 + 1.0196546253391354im,-3.870825589941393 - 0.6504091465139978im,2.962394473255203 - 3.6284947658203217im,-0.0012459335952630499 - 0.0001447855491049992im
-1.536202902985791 + 3.967385116543103e-52im,-2.0 + 3.3409558876152446e-52im,-0.17442304783458742 - 8.352389719038111e-53im,-4.622231866529366e-32 - 2.088097429759528e-53im,8.388092215326103e-34 + 1.3948474482417074e-53im,2.2389325189317244e-50 + 1.5930919111324523e-58im,-0.005306542086496076 + 2.61012178719941e-54im,12.321421339255588 + 5.345529420184391e-51im,10.16983902734965 + 1.0691058840368783e-50im,9.860761315262648e-31 + 6.681911775230489e-52im,0.0004349926934592374 + 1.631326116999631e-54im
-0.7337677666747403 - 2.2068118696726944im,-3.4131665507572913 - 0.8666178575193543im,-0.018005494850626177 + 0.12711504978335805im,0.5673125687772849 - 1.9997510803327885im,-5.338129058030242 + 2.723439058061412im,-5.456811335185965 + 6.64553230592482im,0.0008669737562492179 - 0.0019303236829283556im,-0.6301276653326275 - 29.628690835809554im,-23.253278740753544 - 28.76366986509678im,0.7182689627388322 + 26.47714729529535im,-2.3230068781899897e-6 - 2.1547426879205403e-7im
