x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3.453958053341945e-31 - 6.200464870237464e-31im,-0.7320508075688773 - 1.2679491924311228im,-0.2041241452319315 - 0.7618016810571367im,0.950961894323342 + 0.549038105676658im,-1.0606601717798212 + 0.284203036472259im,0.8169872981077807 - 1.4150635094610966im,-1.4649815451125716 + 1.4649815451125716im,-1.1460087857192231e-31 - 1.3923048454132638im,0.9845081976706066 + 0.9845081976706066im,-0.12391486721229816 - 0.21462684582485123im
1.064962222048366e-29 + 3.1160005756229966e-29im,1.4641016151377546 - 2.3665827156630354e-29im,-0.5576775358252053 + 0.5576775358252053im,-2.8596207814261678e-30 - 1.098076211353316im,0.7764571353075623 + 0.7764571353075623im,-1.6339745962155614 + 1.6171648557030742e-29im,-1.4649815451125716 + 1.4649815451125716im,-3.812570917908972e-30 - 1.3923048454132638im,0.9845081976706066 + 0.9845081976706066im,0.24782973442459633 + 3.411823415080876e-29im
4.5155865162890345 + 5.2986598182282145e-45im,38.01717711836182 + 2.785080697845574e-44im,-0.09634803149358989 + 4.1053665947016125e-47im,8.192306517478167 + 3.28429327576129e-45im,15.938502765390627 + 4.5542200090556555e-45im,-1.6639885954818256 + 6.130680781421075e-46im,125.51748025409022 + 1.5204088337924265e-43im,12.627982806195593 + 4.484155085839415e-44im,410.36096607224187 + 4.764414778704378e-43im,1.6918712804272383e-14 - 3.0866155778191263e-58im
-2.2577932581445195 + 3.91061263609278im,-19.008588559180918 + 32.92384116467383im,0.048174015746794946 + 0.08343984287807198im,-4.0961532587390845 - 7.0947455597249185im,-7.969251382695314 - 13.80314829311681im,0.8319942977409125 + 1.4410563952948474im,125.5174802540903 + 1.9704211056521868e-14im,12.627982806195638 + 1.1949352087356537e-14im,410.3609660722421 + 4.843699113383178e-14im,-8.459356402136164e-15 + 1.465203508783289e-14im
-2.2577932581445186 - 3.9106126360927806im,-19.00858855918092 - 32.923841164673846im,0.04817401574679493 - 0.08343984287807198im,-4.096153258739085 + 7.094745559724919im,-7.96925138269532 + 13.803148293116813im,0.8319942977409143 - 1.441056395294849im,125.51748025409033 + 1.2935418745249694e-14im,12.6279828061956 - 1.8139185565349525e-14im,410.3609660722423 + 8.795601137682959e-14im,-8.459356402136163e-15 - 1.4652035087832836e-14im
0.5853490438100435 + 1.017562123962462im,-1.3112115858311044 - 0.8903407791686183im,-0.3618740257078119 - 0.19269704870412063im,-0.18738233665381554 - 1.2941918629411788im,0.7175954608753221 + 0.5042104292516016im,0.36414519082566643 - 0.520994650022127im,0.061582677305144266 - 2.40326238214369im,1.3912196065916784 - 0.11878842498129552im,2.2191908988122795 + 1.3853147179495597im,-0.07432328881440238 + 0.41973996151034637im
0.5885601273753203 - 1.015708204001659im,-0.11545193986970224 + 1.5807129326505254im,0.34781755226596167 - 0.21704357488064782im,1.214494199005077 + 0.48481806770789715im,-0.7954567710226045 + 0.36935068413263034im,0.2691220067421116 + 0.5758563109320227im,0.061582677305144266 - 2.40326238214369im,1.3912196065916784 - 0.11878842498129552im,2.2191908988122795 + 1.3853147179495597im,0.4006671140586637 - 0.14550412454909292im
-1.1739091711853638 - 0.0018539199608029113im,1.4266635257008067 - 0.6903721534819071im,0.014056473441850237 + 0.4097406235847685im,-1.0271118623512614 + 0.8093737952332817im,0.0778613101472824 - 0.873561113384232im,-0.633267197567778 - 0.05486166090989573im,0.061582677305144266 - 2.40326238214369im,1.3912196065916784 - 0.11878842498129552im,2.2191908988122795 + 1.3853147179495597im,-0.3263438252442613 - 0.2742358369612535im
-2.4561317857766274 + 1.1243238250932928im,-33.545880875161295 - 30.373684384629943im,0.08990326550470779 + 0.058978464325096853im,2.9834099143757595 - 9.166403831025672im,26.006861084675435 - 1.282814411391241im,11.879469854394127 - 14.53082788267863im,20.534007745014858 + 99.8727235315604im,51.92242515446801 - 96.6186211337668im,-198.13967460597917 - 431.5242112148092im,6.294207321532348e-15 + 5.178702254626781e-15im
0.2543728982774292 - 2.689234434071644im,43.07732272120088 - 13.864742837901261im,0.006125215629374227 - 0.1073477439728026im,-9.430043536203112 + 1.999493139761071im,-14.114380410943308 - 21.881195166326222im,-18.523801011616 - 3.022508736057425im,20.534007745014865 + 99.87272353156037im,51.922425154467916 - 96.61862113376675im,-198.13967460597908 - 431.52421121480904im,-7.631991371908735e-15 + 2.8615923098196415e-15im
2.201758887499197 + 1.5649106089783527im,-9.531441846039609 + 44.23842722253122im,-0.096028481134082 + 0.04836927964770573im,6.4466336218273534 + 7.166910691264603im,-11.892480673732127 + 23.16400957771748im,6.644331157221875 + 17.55333661873606im,20.53400774501484 + 99.87272353156044im,51.92242515446806 - 96.61862113376688im,-198.13967460597908 - 431.5242112148095im,1.337784050376348e-15 - 8.04029456444639e-15im
2.8750135256433973 - 5.487778056566148im,-4.276782556029531 + 3.524280909324553im,-0.16014361340604688 - 0.007313257171423388im,0.47760272870194526 + 7.2799526940821275im,6.428786507570649 - 14.874674031882051im,-7.805541581989555 + 5.381996029671786im,44.45592811355283 + 18.010804667600194im,-71.07802019998046 - 47.894938226853995im,40.47218843151152 + 37.83445575475643im,-9.796002564927415e-7 + 1.4621078528747528e-7im
