x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
-1.0614079498449267 - 2.7326512218074255im,-0.269655738008877 + 2.2532222758417393im,0.32281326325302184 - 0.06766552078517701im,0.638934775626607 - 1.6577331474485186im,-1.264488806572492 + 1.3655875303002805im,0.3533976499451802 - 0.7809029991302148im,-5.0185293784548355 - 0.9441396741963659im,7.74308242372754 - 0.5790659232904032im,-6.311595340181262 - 2.298604700130308im,0.00770108498354978 - 0.005216367773364518im
20.650491702563226 - 70.28024913844664im,65.2583150435722 - 52.49081168327181im,-0.00378998922329742 - 0.013841679208403901im,-1.457990643671531 - 4.769397959853498im,-4.602020898165264 - 11.414982953123902im,-0.2689767244879827 - 9.834304705505378im,6012.89113057096 - 2436.5403097212916im,5526.4499431943295 + 1299.6456476838193im,1453.5239021205884 - 1076.4678954176225im,-2.2189595970476225e-19 - 1.3731792066560117e-19im
50.539235286912586 + 53.02397498428284im,12.829218861192297 + 82.76076447753763im,-0.010092251213863947 + 0.01020306655164677im,-3.4014244721550377 + 3.6473559158263202im,-7.584654772088978 + 9.692958483119948im,-8.382269341280509 + 5.15009302918601im,6012.89113057096 - 2436.5403097212916im,5526.4499431943295 + 1299.6456476838193im,1453.5239021205884 - 1076.4678954176225im,2.298687875436479e-19 - 1.235085777686517e-19im
-71.18972698947576 + 17.256274154164007im,-78.08753390476505 - 30.26995279426556im,0.01388224043716136 + 0.0036386126567571737im,4.85941511582658 + 1.1220420440271792im,12.186675670254274 + 1.7220244700039404im,8.651246065768554 + 4.684211676319358im,6012.891130570951 - 2436.54030972133im,5526.44994319437 + 1299.6456476837832im,1453.523902120581 - 1076.4678954176375im,-7.972827838893978e-21 + 2.608264984342438e-19im
-1.411638836525792 + 0.23794781867216208im,0.582198900553084 - 0.7705946392802259im,0.2617627813284032 + 0.1416692036030915im,0.22877992372820263 - 0.9163020217208706im,-0.7958337055044209 - 0.5266254312668393im,0.8240031894184511 - 0.5038645252893797im,0.3231853150217063 + 4.58876807945791im,1.6364232823284601 - 0.884549686508378im,-0.5027217300550745 - 0.9612530020921741im,-3.244654369329687 - 2.085189688582991im
0.9118882740080816 + 1.103541184063963im,-0.9584539839133234 - 0.11890171829422785im,-0.25357051991838875 + 0.15585861659412234im,0.6791508664852132 + 0.6562802366849251im,0.853987854508229 - 0.4258994905213125im,0.024357884257164078 + 0.9655399574804693im,0.3231853150217063 + 4.58876807945791im,1.6364232823284601 - 0.884549686508378im,-0.5027217300550745 - 0.9612530020921741im,-0.18350005735738906 + 3.8525479546311807im
0.4997505625177104 - 1.3414890027361253im,0.37625508336023944 + 0.8894963575744537im,-0.008192261410014428 - 0.29752782019721385im,-0.9079307902134158 + 0.2600217850359456im,-0.058154149003808164 + 0.9525249217881517im,-0.8483610736756151 - 0.4616754321910895im,0.3231853150217063 + 4.58876807945791im,1.6364232823284601 - 0.884549686508378im,-0.5027217300550745 - 0.9612530020921741im,3.428154426687076 - 1.7673582660481897im
-1.3682941930788182 - 0.694699907872215im,2.5530531865288273 + 0.48281160236527165im,0.15514848831000339 + 0.7337086071941251im,-1.8755384167392204 - 0.07179472266920225im,1.7577872090655948 - 0.6903695829760309im,-1.8290076434012288 + 0.42989762827632255im,-0.7234210043689345 + 1.0813718064867457im,-0.9656787464349074 - 2.9167898008274307im,1.225569765198804 + 0.884838430915047im,0.03904901066158819 + 0.05209666717069936im
0.08251932831536174 + 1.5323274849930937im,-0.8583994803742175 - 2.4524147179294116im,-0.712984536960412 - 0.2324917713618466im,0.9999452620587979 - 1.588366553335209im,-0.28101600767548574 + 1.8674731689861686im,0.5422015545866395 - 1.798915897039535im,-0.7234210043689345 + 1.0813718064867457im,-0.9656787464349074 - 2.9167898008274307im,1.225569765198804 + 0.884838430915047im,0.025592531891534324 - 0.059865768810934444im
1.2857748647634564 - 0.8376275771208787im,-1.6946537061546099 + 1.9696031155641398im,0.5578360486504086 - 0.5012168358322785im,0.8755931546804225 + 1.660161276004411im,-1.476771201390109 - 1.1771035860101378im,1.2868060888145891 + 1.3690182687632124im,-0.7234210043689345 + 1.0813718064867457im,-0.9656787464349074 - 2.9167898008274307im,1.225569765198804 + 0.884838430915047im,-0.06464154255312252 + 0.007769101640235085im
-3.948100470173574 + 1.0118596252973384im,3.4233299016254235 - 0.9441165664418957im,-0.4826021364071946 - 0.37268312536891113im,1.060733092709688 - 1.6595127496092368im,-0.5904713943345096 + 1.6136251861391664im,1.5775072757249027 - 0.3473925960917512im,-0.2712748515517006 - 1.789823105216866im,3.3341530426179045 + 0.4524539645365434im,-0.7122730079174172 + 1.1474378894417088im,-9.556896610370842 + 7.419617611083859im
1.0977540945154887 - 3.9250851165122707im,-0.8940360201402913 + 3.436748943563448im,-0.08145198592766055 + 0.6042872727337291im,-1.9675467454206073 - 0.08886543011680569im,1.6926761005501663 - 0.295449365367879im,-1.0896044511645346 - 1.192465077386673im,-0.2712748515517006 - 1.789823105216866im,3.3341530426179045 + 0.4524539645365434im,-0.7122730079174172 + 1.1474378894417088im,-1.6471290323795185 - 11.986324051464504im
2.850346375658085 + 2.9132254912149325im,-2.5292938814851325 - 2.492632377121552im,0.5640541223348552 - 0.23160414736481788im,0.9068136527109192 + 1.7483781797260425im,-1.1022047062156568 - 1.3181758207712873im,-0.48790282456036804 + 1.5398576734784242im,-0.2712748515517006 - 1.789823105216866im,3.3341530426179045 + 0.4524539645365434im,-0.7122730079174172 + 1.1474378894417088im,11.204025642750452 + 4.566706440380612im
-2.353930186186241 + 1.325730869745268im,2.904642370810962 - 1.1427986265766243im,-0.7577030018760568 - 1.134575108293562im,0.07513666012677023 + 0.6130975495269698im,1.168235125915103 - 0.5656490742817203im,-1.8296068143830575 + 0.19861645434916472im,-0.9138450793711258 - 0.5277021358704026im,0.07899385272203377 + 0.5969279526825276im,0.01773533206234772 - 0.16768299519697297im,-5.161733156688047 - 24.190836321357494im
0.0288484813124798 - 2.701428774844952im,-0.4626285433801581 + 3.0868933953192648im,-0.6037193653456769 + 1.2234776022951743im,0.49338972282495874 - 0.3716190311887852im,-1.0739840309126722 - 0.7288967594949315im,1.0868103022674978 + 1.4851777530182655im,-0.9138450793711258 - 0.5277021358704026im,0.07899385272203377 + 0.5969279526825276im,0.01773533206234772 - 0.16768299519697297im,23.53074537143091 + 7.625226119430455im
2.3250817048737615 + 1.3756979050996843im,-2.442013827430804 - 1.9440947687426404im,1.3614223672217336 - 0.08890249400161229im,-0.568526382951729 - 0.24147851833818457im,-0.09425109500243072 + 1.2945458337766518im,0.7427965121155599 - 1.6837942073674301im,-0.9138450793711258 - 0.5277021358704026im,0.07899385272203377 + 0.5969279526825276im,0.01773533206234772 - 0.16768299519697297im,-18.369012214742863 + 16.565610201927036im
-1.4563630030133843 - 3.325280579802807im,0.5954489505524465 + 2.0686725882127464im,0.25343726892075896 - 0.034458767079215954im,1.0592906041361079 - 2.6780524113925805im,-1.1901318653694049 + 3.085239046385813im,0.8559502208280603 - 2.1817803905008217im,-10.165183965059896 + 0.6356922860018259im,19.43741107940012 + 0.4142998369169984im,-14.096271178318693 - 1.0387928567467735im,-0.001853304622315919 + 0.002915302704760484im
3.6079589583269702 + 0.40139293216001964im,-2.0892474887809667 - 0.5186623762711703im,-0.1565608021340714 - 0.20225372961151764im,-2.848906723000203 + 0.4216536325242556im,3.2669613236024926 - 0.5119350939296405im,-2.317452354066474 + 0.3496155596384105im,-10.165183965059896 + 0.6356922860018259im,19.43741107940012 + 0.4142998369169984im,-14.096271178318693 - 1.0387928567467735im,-0.0015980738908861049 - 0.0030626602362569524im
-2.151595955313586 + 2.923887647642787im,1.49379853822852 - 1.550010211941576im,-0.09687646678668756 + 0.2367124966907336im,1.7896161188640953 + 2.2563987788683253im,-2.076829458233088 - 2.5733039524561723im,1.4615021332384142 + 1.832164830862411im,-10.165183965059896 + 0.6356922860018259im,19.43741107940012 + 0.4142998369169984im,-14.096271178318693 - 1.0387928567467735im,0.003451378513202024 + 0.00014735753149646823im
-0.10858988277616326 + 1.5642349925991927im,-0.5900107400239166 - 0.8114384402928887im,-0.22780655941198488 + 0.3743183332470851im,0.6350544019153195 + 0.42691234752322293im,-0.04072001256306031 + 0.9342835469096714im,0.20532212920336743 - 0.35112639073023594im,-1.548127935316271 - 0.05494515055733178im,-1.7514672497252013 - 0.6210368063730375im,0.5868235809050746 + 1.534152421050256im,-0.1596808423008676 + 0.2661345961685483im
-1.3003722996913827 - 0.876159093377728im,0.9977316729128224 - 0.10524506921992355im,0.4380724654002174 + 0.010127100975965374im,0.05218973718670199 - 0.7634294186054111im,0.8294732922431358 - 0.431877208132804im,-0.40674543891320886 - 0.002250984484108981im,-1.548127935316271 - 0.05494515055733178im,-1.7514672497252013 - 0.6210368063730375im,0.5868235809050746 + 1.534152421050256im,-0.15063889995744176 - 0.27135496401452225im
1.408962182467546 - 0.6880758992214647im,-0.4077209328889057 + 0.9166835095128122im,-0.2102659059882325 - 0.38444543422305044im,-0.6872441391020214 + 0.33651707108218826im,-0.7887532796800756 - 0.5024063387768675im,0.20142330970984146 + 0.3533773752143449im,-1.548127935316271 - 0.05494515055733178im,-1.7514672497252013 - 0.6210368063730375im,0.5868235809050746 + 1.534152421050256im,0.31031974225830933 + 0.0052203678459739845im
-1.0326833458786373 + 0.2321983185984326im,0.3675247823358377 + 0.49079365494212707im,-0.0765805438171 + 0.4132676368735262im,-0.516699887216727 + 0.8218482675010425im,0.7397335844562145 + 0.36724827619918704im,0.6484568474685348 + 0.08471756338893315im,-1.8609339336058501 - 1.8683579540235147im,-1.22897827259415 - 0.43542288982055155im,-0.5062234937078147 + 1.7413533360027793im,-0.8391796742915631 + 1.2042838875602908im
0.3152520303170433 - 1.0104291708952282im,-0.6088021643640149 + 0.07288897055211821im,0.39619054400298626 - 0.14031312205552715im,0.9700914213204951 + 0.03655109471171868im,-0.051820455543567255 - 0.8242522142711969im,-0.2508608616927328 - 0.6039388848601885im,-1.8609339336058501 - 1.8683579540235147im,-1.22897827259415 - 0.43542288982055155im,-0.5062234937078147 + 1.7413533360027793im,-0.6233506028497128 - 1.32889286005619im
0.717431315561594 + 0.7782308522967957im,0.2412773820281772 - 0.5636826254942453im,-0.31961000018588626 - 0.272954514817999im,-0.45339153410376815 - 0.8583993622127611im,-0.6879131289126473 + 0.45700393807200984im,-0.397595985775802 + 0.5192213214712554im,-1.8609339336058501 - 1.8683579540235147im,-1.22897827259415 - 0.43542288982055155im,-0.5062234937078147 + 1.7413533360027793im,1.4625302771412758 + 0.12460897249589929im
0.058625516813885906 - 1.4112705561763883im,0.7910434598524358 + 1.148203100491392im,-0.48916723336663004 - 1.0194879150888578im,-0.38594026145098426 + 1.3044810523359989im,0.9465510982061265 - 0.11677812020347299im,-1.535911043245648 - 0.7041106392938572im,-0.8204362995503262 - 0.9727947260052064im,0.35253379124024375 + 1.2760539022030035im,0.569983955531359 - 0.7170890269258006im,13.45714325897388 - 19.74440097566219im
1.192883394854803 + 0.7564064649590111im,-1.3898947836558202 + 0.11096218148404907im,-0.6383188166348686 + 0.9333752083388814im,1.3226838608039249 - 0.3180064554082389im,-0.5744083678054637 - 0.761348236924828im,0.158177820919442 + 1.6821933010507193im,-0.8204362995503262 - 0.9727947260052064im,0.35253379124024375 + 1.2760539022030035im,0.569983955531359 - 0.7170890269258006im,10.370581197942773 + 21.526428412468988im
-1.251508911668689 + 0.6548640912173772im,0.5988513238033842 - 1.259165281975441im,1.1274860500014987 + 0.08611270674997637im,-0.9367435993529407 - 0.9864745969277599im,-0.3721427304006628 + 0.878126357128301im,1.377733222326206 - 0.978082661756862im,-0.8204362995503262 - 0.9727947260052064im,0.35253379124024375 + 1.2760539022030035im,0.569983955531359 - 0.7170890269258006im,-23.827724456916652 - 1.782027436806796im
0.5808689404685172 + 1.009089529489627im,7.108421308190368 + 7.591006464102481im,0.19568243355569076 - 0.023529002943725553im,5.234455128968975 + 2.660537853728644im,-2.8276500586234894 - 6.600804926494793im,-11.074326288214545 + 7.051048495316927im,-18.795499441529387 - 8.317477084930527im,-12.838814130542112 - 42.62664724794058im,-4.088605145400282 - 11.712924419170673im,6.363046493655447e-10 - 2.8350070113333615e-10im
-1.164331637465162 - 0.0014975060297267259im,-10.128215092299833 + 2.360570201644219im,-0.1182179310528306 - 0.15770145706172586im,-0.31313419542535115 - 5.863440043521207im,-4.302639722458235 + 5.749219247027896im,11.643550264367775 + 6.0651236477331825im,-18.795499441529387 - 8.317477084930552im,-12.838814130542037 - 42.62664724794065im,-4.088605145400299 - 11.712924419170665im,-7.263351551059579e-11 + 6.928063414633748e-10im
0.583462696996645 - 1.0075920234599im,3.019793784109457 - 9.951576665746698im,-0.07746450250286022 + 0.18123046000545157im,-4.921320933543619 + 3.202902189792556im,7.1302897810817 + 0.8515856794669071im,-0.5692239761532139 - 13.116172143050076im,-18.795499441529362 - 8.317477084930532im,-12.838814130542017 - 42.62664724794051im,-4.088605145400291 - 11.71292441917069im,-5.636711338549489e-10 - 4.093056403300423e-10im
1.4791141972893971e-31 + 9.860761315262648e-32im,-5.464101615137754 - 1.5407439555097887e-31im,0.14942924536134225 + 0.14942924536134225im,0.0 - 4.098076211353316im,2.897777478867205 - 2.897777478867205im,-3.366025403784439 - 9.860761315262648e-32im,11.262940516245283 + 11.262940516245283im,1.3805065841367707e-30 - 19.392304845413264im,13.712430259028462 - 13.712430259028462im,1.266865147827475e-7 - 1.7632415262334313e-38im
-3.4995855846319595e-16 - 4.681342956201562e-16im,2.732050807568878 - 4.7320508075688785im,0.05469489987058925 - 0.20412414523193148im,-3.549038105676658 + 2.0490381056766584im,-3.9584376506470274 - 1.060660171779821im,1.6830127018922185 + 2.915063509461097im,11.262940516245289 + 11.262940516245285im,4.646949204500875e-16 - 19.392304845413268im,13.712430259028467 - 13.712430259028473im,-6.334325739137366e-8 + 1.0971374011877187e-7im
-1.2457294675879466e-16 + 2.9048218496788186e-16im,2.7320508075688763 + 4.732050807568877im,-0.2041241452319315 + 0.05469489987058926im,3.5490381056766576 + 2.0490381056766576im,1.0606601717798214 + 3.9584376506470256im,1.6830127018922187 - 2.9150635094610955im,11.262940516245283 + 11.262940516245285im,2.0438924070106784e-15 - 19.392304845413264im,13.712430259028462 - 13.712430259028457im,-6.33432573913739e-8 - 1.0971374011877232e-7im
-0.8438463648727855 + 0.3607680318172637im,0.20998212109398887 + 0.7451648664819147im,0.15710660998987455 + 0.9604707565541677im,0.4505967581922231 - 0.8215332959176909im,-0.9694289308131945 + 0.4225487772942512im,1.023393789373211 + 0.7422830681455409im,-0.9112268165908297 - 0.8871144521278712im,-0.36274289108607616 + 1.2651082196504018im,0.6565440599427073 - 0.7082775277617483im,1.0870741755122646 - 3.5919208467981587im
0.7343574628634557 + 0.550408372962353im,0.5403406438339831 - 0.5544322844488919im,-0.9103453797629056 - 0.34417706292339845im,0.48617032522336745 + 0.8009948874162245im,0.11877648993172253 - 1.050824469894939im,-1.1545328884996995 + 0.5151434855996514im,-0.9112268165908297 - 0.8871144521278712im,-0.36274289108607616 + 1.2651082196504018im,0.6565440599427073 - 0.7082775277617483im,-3.6542317894662504 + 0.8545265716074346im
0.10948890200932976 - 0.9111764047796166im,-0.7503227649279719 - 0.19073258203302274im,0.7532387697730312 - 0.6162936936307692im,-0.9367670834155906 + 0.020538408501466383im,0.850652440881472 + 0.6282756926006878im,0.13113909912648847 - 1.2574265537451923im,-0.9112268165908297 - 0.8871144521278712im,-0.36274289108607616 + 1.2651082196504018im,0.6565440599427073 - 0.7082775277617483im,2.567157613953986 + 2.737394275190724im
25.84493540274754 - 12.738361525320972im,-13.980909565933901 + 27.359275544648924im,-0.034409933131025985 - 0.016369271896347272im,0.8084290978218192 - 2.2363194497789416im,0.45064586392179146 - 3.49152883867036im,4.327857249628912 + 3.727301967158859im,-43.97071609864584 + 656.5906867524603im,-287.6847145789401 - 372.01785482829064im,-174.1919568664204 + 75.31855820830914im,1.6352545908799005e-13 - 5.04084944167716e-13im
-1.8907230178555179 + 28.75155138060766im,-16.703372867837352 - 25.78746062443609im,0.003028761261821581 + 0.03798451218216595im,-2.340924003396711 + 0.4180395890172403im,-3.249075604295406 + 1.3554936530685233im,1.0640095663208275 - 5.611685305710718im,-43.97071609864584 + 656.5906867524603im,-287.6847145789401 - 372.01785482829064im,-174.1919568664204 + 75.31855820830914im,3.547876377705075e-13 + 3.9365967381957033e-13im
-23.954212384892024 - 16.013189855286686im,30.68428243377125 - 1.5718149202128346im,0.0313811718692044 - 0.021615240285818675im,1.5324949055748918 + 1.8182798607617012im,2.798429740373615 + 2.1360351856018367im,-5.391866815949739 + 1.884383338551859im,-43.97071609864584 + 656.5906867524603im,-287.6847145789401 - 372.01785482829064im,-174.1919568664204 + 75.31855820830914im,-5.183130968584975e-13 + 1.1042527034814573e-13im
1.0977540945154887 + 3.9250851165122707im,-0.8940360201402913 - 3.436748943563448im,-0.08145198592766055 - 0.6042872727337291im,-1.9675467454206073 + 0.08886543011680569im,1.6926761005501663 + 0.295449365367879im,-1.0896044511645346 + 1.192465077386673im,-0.2712748515517006 + 1.789823105216866im,3.3341530426179045 - 0.4524539645365434im,-0.7122730079174172 - 1.1474378894417088im,-1.6471290323796095 + 11.986324051464472im
